CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
628,2542,2087472,FP,3
628,2542,2087472,MAS-IPSP,7
628,2542,2087472,UNIDAD,3
628,2542,2087472,PDC,67
628,2542,2087482,AP,8
628,2542,2087482,LYP-ADN,1
628,2542,2087482,APB-SUMATE,17
628,2542,2087482,LIBRE,8
628,2542,2087482,FP,2
628,2542,2087482,MAS-IPSP,8
628,2542,2087482,UNIDAD,4
628,2542,2087482,PDC,54
628,2542,2087492,AP,8
628,2542,2087492,LYP-ADN,1
628,2542,2087492,APB-SUMATE,19
628,2542,2087492,LIBRE,5
628,2542,2087492,FP,1
628,2542,2087492,MAS-IPSP,2
628,2542,2087492,UNIDAD,4
628,2542,2087492,PDC,60
628,2542,2087502,AP,8
628,2542,2087502,LYP-ADN,0
628,2542,2087502,APB-SUMATE,8
628,2542,2087502,LIBRE,13
628,2542,2087502,FP,3
628,2542,2087502,MAS-IPSP,8
628,2542,2087502,UNIDAD,3
628,2542,2087502,PDC,63
628,2542,2087512,AP,3
628,2542,2087512,LYP-ADN,0
628,2542,2087512,APB-SUMATE,14
628,2542,2087512,LIBRE,2
628,2542,2087512,FP,3
628,2542,2087512,MAS-IPSP,3
628,2542,2087512,UNIDAD,0
628,2542,2087512,PDC,52
3470,1,2087522,AP,4
3470,1,2087522,LYP-ADN,2
3470,1,2087522,APB-SUMATE,32
3470,1,2087522,LIBRE,7
3470,1,2087522,FP,1
3470,1,2087522,MAS-IPSP,3
3470,1,2087522,UNIDAD,10
3470,1,2087522,PDC,58
3470,1,2087532,AP,1
3470,1,2087532,LYP-ADN,3
3470,1,2087532,APB-SUMATE,13
3470,1,2087532,LIBRE,2
3470,1,2087532,FP,0
3470,1,2087532,MAS-IPSP,2
3470,1,2087532,UNIDAD,4
3470,1,2087532,PDC,27
638,2418,2087582,AP,10
638,2418,2087582,LYP-ADN,0
638,2418,2087582,APB-SUMATE,0
638,2418,2087582,LIBRE,1
638,2418,2087582,FP,0
638,2418,2087582,MAS-IPSP,3
638,2418,2087582,UNIDAD,0
638,2418,2087582,PDC,7
639,25768,2087592,AP,9
639,25768,2087592,LYP-ADN,0
639,25768,2087592,APB-SUMATE,1
639,25768,2087592,LIBRE,0
639,25768,2087592,FP,1
639,25768,2087592,MAS-IPSP,27
639,25768,2087592,UNIDAD,29
639,25768,2087592,PDC,14
639,25768,2087602,AP,14
639,25768,2087602,LYP-ADN,2
639,25768,2087602,APB-SUMATE,1
639,25768,2087602,LIBRE,6
639,25768,2087602,FP,0
639,25768,2087602,MAS-IPSP,28
639,25768,2087602,UNIDAD,37
639,25768,2087602,PDC,13
639,25768,2087612,AP,23
639,25768,2087612,LYP-ADN,2
639,25768,2087612,APB-SUMATE,0
639,25768,2087612,LIBRE,0
639,25768,2087612,FP,0
639,25768,2087612,MAS-IPSP,16
639,25768,2087612,UNIDAD,54
639,25768,2087612,PDC,21
639,25768,2087622,AP,14
639,25768,2087622,LYP-ADN,0
639,25768,2087622,APB-SUMATE,0
639,25768,2087622,LIBRE,1
639,25768,2087622,FP,1
639,25768,2087622,MAS-IPSP,22
639,25768,2087622,UNIDAD,38
639,25768,2087622,PDC,18
639,25768,2087632,AP,12
639,25768,2087632,LYP-ADN,0
639,25768,2087632,APB-SUMATE,1
639,25768,2087632,LIBRE,0
639,25768,2087632,FP,0
639,25768,2087632,MAS-IPSP,16
639,25768,2087632,UNIDAD,50
639,25768,2087632,PDC,17
642,2385,2087672,AP,14
642,2385,2087672,LYP-ADN,2
642,2385,2087672,APB-SUMATE,1
642,2385,2087672,LIBRE,5
642,2385,2087672,FP,3
642,2385,2087672,MAS-IPSP,4
642,2385,2087672,UNIDAD,7
642,2385,2087672,PDC,15
643,25770,2087682,AP,57
643,25770,2087682,LYP-ADN,0
643,25770,2087682,APB-SUMATE,1
643,25770,2087682,LIBRE,3
643,25770,2087682,FP,0
643,25770,2087682,MAS-IPSP,5
643,25770,2087682,UNIDAD,9
643,25770,2087682,PDC,12
643,25770,2087692,AP,37
643,25770,2087692,LYP-ADN,0
643,25770,2087692,APB-SUMATE,0
643,25770,2087692,LIBRE,0
643,25770,2087692,FP,0
643,25770,2087692,MAS-IPSP,1
643,25770,2087692,UNIDAD,6
643,25770,2087692,PDC,6
3235,8014,2087722,AP,54
3235,8014,2087722,LYP-ADN,0
3235,8014,2087722,APB-SUMATE,2
3235,8014,2087722,LIBRE,1
3235,8014,2087722,FP,1
3235,8014,2087722,MAS-IPSP,14
3235,8014,2087722,UNIDAD,2
3235,8014,2087722,PDC,12
3347,25767,2087752,AP,62
3347,25767,2087752,LYP-ADN,2
3347,25767,2087752,APB-SUMATE,0
3347,25767,2087752,LIBRE,2
3347,25767,2087752,FP,1
3347,25767,2087752,MAS-IPSP,24
3347,25767,2087752,UNIDAD,8
3347,25767,2087752,PDC,18
3383,1,2087772,AP,25
3383,1,2087772,LYP-ADN,1
3383,1,2087772,APB-SUMATE,2
3383,1,2087772,LIBRE,1
3383,1,2087772,FP,1
3383,1,2087772,MAS-IPSP,6
3383,1,2087772,UNIDAD,10
3383,1,2087772,PDC,7
3623,1,2087802,AP,32
3623,1,2087802,LYP-ADN,1
3623,1,2087802,APB-SUMATE,1
3623,1,2087802,LIBRE,1
3623,1,2087802,FP,0
3623,1,2087802,MAS-IPSP,7
3623,1,2087802,UNIDAD,16
3623,1,2087802,PDC,12
3625,1,2087822,AP,32
3625,1,2087822,LYP-ADN,1
3625,1,2087822,APB-SUMATE,2
3625,1,2087822,LIBRE,4
3625,1,2087822,FP,1
3625,1,2087822,MAS-IPSP,5
3625,1,2087822,UNIDAD,9
3625,1,2087822,PDC,7
4464,26496,2087832,AP,8
4464,26496,2087832,LYP-ADN,0
4464,26496,2087832,APB-SUMATE,0
4464,26496,2087832,LIBRE,1
4464,26496,2087832,FP,0
4464,26496,2087832,MAS-IPSP,3
4464,26496,2087832,UNIDAD,0
4464,26496,2087832,PDC,15
4521,32215,2087852,AP,1
4521,32215,2087852,LYP-ADN,0
4521,32215,2087852,APB-SUMATE,1
4521,32215,2087852,LIBRE,0
4521,32215,2087852,FP,0
4521,32215,2087852,MAS-IPSP,3
4521,32215,2087852,UNIDAD,1
4521,32215,2087852,PDC,2
4527,32220,2087862,AP,38
4527,32220,2087862,LYP-ADN,0
4527,32220,2087862,APB-SUMATE,0
4527,32220,2087862,LIBRE,0
4527,32220,2087862,FP,1
4527,32220,2087862,MAS-IPSP,4
4527,32220,2087862,UNIDAD,3
4527,32220,2087862,PDC,3
4528,32222,2087872,AP,28
4528,32222,2087872,LYP-ADN,0
4528,32222,2087872,APB-SUMATE,1
4528,32222,2087872,LIBRE,1
4528,32222,2087872,FP,1
4528,32222,2087872,MAS-IPSP,1
4528,32222,2087872,UNIDAD,2
4528,32222,2087872,PDC,4
4555,32249,2087882,AP,7
4555,32249,2087882,LYP-ADN,2
4555,32249,2087882,APB-SUMATE,0
4555,32249,2087882,LIBRE,0
4555,32249,2087882,FP,1
4555,32249,2087882,MAS-IPSP,4
4555,32249,2087882,UNIDAD,4
4555,32249,2087882,PDC,2
4556,32250,2087892,AP,1
4556,32250,2087892,LYP-ADN,0
4556,32250,2087892,APB-SUMATE,0
4556,32250,2087892,LIBRE,1
