CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
2050,32323,6017912,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Palos Blancos,Posta Sanitaria de Palos Blancos,1
2051,18,6017922,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Zapaterambia,U.E. Puerto Margarita,1
2052,19,6017932,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Lagunitas,U.E. Lagunitas,1
3051,2,6018042,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Tentaguazu,Centro P.A.N Tentaguazu,1
3052,2,6018052,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Yuati,U.E. Mistolar,1
3052,2,6018062,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Yuati,U.E. Mistolar,2
3515,2,6018092,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Tentapiao,U.E. Tentapiau,1
3756,1,6018122,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Yukimbia,U.E. Yukimbia,1
4116,25527,6018132,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Alto Ipaguazu,U.E. Alto Ipaguazu,1
3539,1,7062982,32,BOLIVIA,7,Santa Cruz,0,5,2,Warnes                                  ,1,Warnes,Alba Tapera,Esc. Unid. Edu. 21 De Octubre,1
3539,1,7062992,32,BOLIVIA,7,Santa Cruz,0,5,2,Warnes                                  ,1,Warnes,Alba Tapera,Esc. Unid. Edu. 21 De Octubre,2
3540,1,7063002,32,BOLIVIA,7,Santa Cruz,0,5,2,Warnes                                  ,1,Warnes,Futuro,Esc. Unid. Edu. Seccional El Futuro,1
2287,24005,7064442,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,El Carmen de Ruíz,U.E. 13 de Mayo,1
2287,24005,7064452,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,El Carmen de Ruíz,U.E. 13 de Mayo,2
2287,24005,7064462,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,El Carmen de Ruíz,U.E. 13 de Mayo,3
2288,4006,7064472,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Florida,Esc. Alberto Natusch Busch,1
2289,4007,7064482,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Piso Firme,U.E. Modesto Gómez Pedraza,1
2289,4007,7064492,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Piso Firme,U.E. Modesto Gómez Pedraza,2
2294,4010,7064592,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Porvenir,U.E. Porvenir,1
