CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
2794,123,1003661,240,164,29,15,0,15,208,164,208
2794,123,1003671,240,182,25,6,0,6,213,182,213
2794,123,1003681,240,163,23,23,0,23,209,163,209
2794,123,1003691,240,144,28,34,0,34,206,144,206
2794,123,1003701,240,165,23,23,0,23,211,165,211
2794,123,1003711,240,148,35,14,0,14,197,148,197
2794,123,1003721,240,172,25,20,0,20,217,172,217
2794,123,1003731,240,165,25,22,0,22,212,165,212
2794,123,1003741,240,172,29,14,0,14,215,172,215
2794,123,1003751,240,154,25,21,0,21,200,154,200
2794,123,1003761,240,161,28,17,0,17,206,161,206
2794,123,1003771,240,160,22,24,0,24,206,160,206
2794,123,1003781,240,172,24,18,0,18,214,172,214
2794,123,1003791,240,167,32,15,0,15,214,167,214
2794,123,1003801,240,170,25,15,0,15,210,170,210
2794,123,1003811,240,178,27,12,0,12,217,178,217
2794,123,1003821,240,170,24,14,2,16,210,170,210
2794,123,1003831,240,180,22,9,0,9,211,180,211
2794,123,1003841,240,173,32,6,0,6,211,173,211
2794,123,1003851,240,163,34,13,0,13,210,163,210
2794,123,1003861,240,161,32,13,0,13,206,161,206
2794,123,1003871,240,163,37,7,0,7,207,163,207
2794,123,1003881,104,71,9,7,0,7,87,71,87
2794,502,1003891,240,185,18,12,0,12,215,185,215
2794,502,1003901,240,176,30,15,0,15,221,176,221
2794,502,1003911,240,160,34,19,0,19,213,160,213
2794,502,1003921,240,171,11,29,0,29,211,171,211
2794,502,1003931,240,172,29,13,0,13,214,172,214
2794,502,1003941,240,178,27,14,0,14,219,178,219
2794,502,1003951,240,174,25,22,0,22,221,174,221
2794,502,1003961,240,165,35,14,0,14,214,165,214
2794,502,1003971,240,171,27,13,0,13,211,171,211
2794,502,1003981,240,149,41,17,0,17,207,149,207
2794,502,1003991,240,159,36,10,0,10,205,159,205
2794,502,1004001,240,172,31,14,0,14,217,172,217
2794,502,1004011,240,172,32,6,0,6,210,172,210
2794,502,1004021,105,73,10,11,0,11,94,73,94
2794,32163,1004031,240,134,39,50,0,50,223,134,223
2794,32163,1004041,240,135,48,31,0,31,214,135,214
2794,32163,1004051,240,123,61,34,0,34,218,123,218
2794,32163,1004061,240,133,53,34,0,34,220,133,220
2794,32163,1004071,240,128,43,44,0,44,215,128,215
2794,32163,1004081,240,111,46,61,0,61,218,111,218
2794,32163,1004091,240,142,49,35,0,35,226,142,226
2794,32163,1004101,150,88,35,16,0,16,139,88,139
2794,32387,1004111,89,66,8,6,0,6,80,66,80
2794,508,1004121,240,181,22,13,0,13,216,181,216
2794,508,1004131,240,178,28,12,0,12,218,178,218
2794,508,1004141,240,167,26,8,0,8,201,167,201
2794,508,1004151,240,185,19,5,0,5,209,185,209
2794,508,1004161,240,178,26,13,0,13,217,178,217
2794,508,1004171,240,179,25,15,0,15,219,179,219
2794,508,1004181,240,191,16,13,1,14,221,191,221
2794,508,1004191,240,188,22,9,0,9,219,188,219
2794,508,1004201,240,187,16,14,0,14,217,187,217
2794,508,1004211,240,168,13,26,0,26,207,168,207
2794,508,1004221,240,191,26,6,0,6,223,191,223
2794,508,1004231,240,173,28,12,0,12,213,173,213
2794,508,1004241,198,147,20,6,0,6,173,147,173
2794,117,1004251,240,180,20,10,0,10,210,180,210
2794,117,1004261,240,184,22,9,0,9,215,184,215
2794,117,1004271,240,178,24,11,0,11,213,178,213
2794,117,1004281,240,187,16,8,0,8,211,187,211
2794,117,1004291,240,184,17,12,0,12,213,184,213
2794,117,1004301,240,180,25,11,0,11,216,180,216
2794,117,1004311,240,180,19,11,0,11,210,180,210
2794,117,1004321,240,177,22,13,0,13,212,177,212
2794,117,1004331,240,193,11,7,0,7,211,193,211
2794,117,1004341,240,183,23,7,0,7,213,183,213
2794,117,1004351,240,188,20,13,0,13,221,188,221
2794,117,1004361,240,182,14,10,0,10,206,182,206
2794,117,1004371,240,189,22,6,0,6,217,189,217
2794,117,1004381,240,186,26,9,0,9,221,186,221
2794,117,1004391,240,190,16,8,0,8,214,190,214
2794,117,1004401,240,183,20,11,0,11,214,183,214
2794,117,1004411,205,154,19,12,0,12,185,154,185
2794,400,1004421,240,175,21,16,0,16,212,175,212
2794,400,1004431,240,188,18,9,0,9,215,188,215
2794,400,1004441,240,180,17,12,0,12,209,180,209
2794,400,1004451,240,182,21,9,0,9,212,182,212
2794,400,1004461,240,184,20,7,0,7,211,184,211
2794,400,1004471,240,175,20,7,0,7,202,175,202
2794,400,1004481,240,192,17,10,0,10,219,192,219
2794,400,1004491,240,190,17,11,0,11,218,190,218
2794,400,1004501,240,187,10,11,0,11,208,187,208
2794,400,1004511,240,182,26,11,0,11,219,182,219
2794,400,1004521,240,201,14,7,0,7,222,201,222
2794,400,1004531,240,177,27,10,0,10,214,177,214
2794,400,1004541,240,193,19,11,0,11,223,193,223
2794,400,1004551,240,176,21,21,0,21,218,176,218
2794,400,1004561,240,177,18,15,0,15,210,177,210
2794,400,1004571,75,61,7,4,0,4,72,61,72
2794,30001,1004581,240,188,15,8,0,8,211,188,211
2794,30001,1004591,240,183,25,8,0,8,216,183,216
2794,30001,1004601,240,180,13,13,0,13,206,180,206
2794,30001,1004611,240,177,27,8,0,8,212,177,212
2794,30001,1004621,240,179,24,9,0,9,212,179,212
2794,30001,1004631,240,185,18,13,0,13,216,185,216
2794,30001,1004641,240,176,27,14,0,14,217,176,217
2794,30001,1004651,53,42,6,1,0,1,49,42,49
2794,108,1004661,240,174,31,11,0,11,216,174,216
2794,108,1004671,240,191,12,13,0,13,216,191,216
2794,108,1004681,240,181,23,12,0,12,216,181,216
2794,108,1004691,240,179,27,8,0,8,214,179,214
2794,108,1004701,240,194,18,3,0,3,215,194,215
2794,108,1004711,240,163,25,12,0,12,200,163,200
2794,108,1004721,240,180,19,7,0,7,206,180,206
2794,108,1004731,240,180,19,16,0,16,215,180,215
2794,108,1004741,240,179,25,14,0,14,218,179,218
2794,108,1004751,240,193,23,2,0,2,218,193,218
2794,108,1004761,240,183,18,10,0,10,211,183,211
2794,108,1004771,240,171,26,11,0,11,208,171,208
2794,108,1004781,240,197,12,7,0,7,216,197,216
2794,108,1004791,240,188,20,9,0,9,217,188,217
2794,108,1004801,240,189,23,7,0,7,219,189,219
2794,108,1004811,113,88,12,4,0,4,104,88,104
2794,513,1004821,240,183,24,13,0,13,220,183,220
2794,513,1004831,240,190,22,10,0,10,222,190,222
2794,513,1004841,149,119,14,3,0,3,136,119,136
2794,511,1004851,240,150,46,14,0,14,210,150,210
2794,511,1004861,240,140,47,28,0,28,215,140,215
2794,511,1004871,240,143,43,23,0,23,209,143,209
2794,511,1004881,240,160,36,22,0,22,218,160,218
2794,511,1004891,240,152,41,12,0,12,205,152,205
2794,511,1004901,240,148,36,21,0,21,205,148,205
2794,511,1004911,123,68,25,11,0,11,104,68,104
2794,25570,1004921,240,148,38,20,0,20,206,148,206
2794,25570,1004931,240,164,22,21,0,21,207,164,207
2794,25570,1004941,240,170,31,11,0,11,212,170,212
2794,25570,1004951,240,167,19,19,0,19,205,167,205
2794,25570,1004961,240,174,18,14,0,14,206,174,206
2794,25570,1004971,240,169,33,13,0,13,215,169,215
2794,25570,1004981,240,155,30,15,1,16,201,155,201
2794,25570,1004991,240,161,36,16,0,16,213,161,213
